Implementation,Input Size,Run,Time (s),Average (s),Median (s),Std Dev (s)
Optimized (C++),16384,7,0.099507,,,
Optimized (C++),16384,8,0.112327,,,
Optimized (C++),16384,9,0.078123,,,
Optimized (C++),16384,10,0.081064,,,
Optimized (C++),16384,Summary,-,.095178,.096188,.012609
Speedup,16384,-,-,10.39x,-,-
Baseline (C),32768,1,8.196220,,,
Baseline (C),32768,2,6.953244,,,
Baseline (C),32768,3,6.515292,,,
Baseline (C),32768,4,8.315460,,,
Baseline (C),32768,5,9.810410,,,
Baseline (C),32768,6,11.299590,,,
Baseline (C),32768,7,11.599843,,,
Baseline (C),32768,8,5.723701,,,
Baseline (C),32768,9,4.739118,,,
Baseline (C),32768,10,4.704594,,,
Baseline (C),32768,Summary,-,7.785747,7.574732,2.382800
Optimized (C++),32768,1,0.415228,,,
Optimized (C++),32768,2,0.571487,,,
Optimized (C++),32768,3,0.505852,,,
Optimized (C++),32768,4,0.529001,,,
Optimized (C++),32768,5,0.533220,,,
Optimized (C++),32768,6,0.485132,,,
Optimized (C++),32768,7,0.438013,,,
Optimized (C++),32768,8,0.608399,,,
Optimized (C++),32768,9,0.522275,,,
Optimized (C++),32768,10,0.420493,,,
Optimized (C++),32768,Summary,-,.502910,.514063,.060679
Speedup,32768,-,-,15.48x,-,-
